amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	number-of-items	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-iba	order-item-id	is-prime
404-5080090-9728353		2026-09-17T08:41:58+00:00	2026-09-17T09:47:33+00:00	Pending	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1	Unshipped	1	INR	235.0	10.97					4.48		DHUBRI	ASSAM	783339	IN		false			Easy Ship	false	67893730228522	false
405-0857648-0555511	405-0857648-0555511	2026-09-17T08:39:37+00:00	2026-09-17T08:39:42+00:00	Pending	Amazon	Amazon.in		Expedited	Catche must-quit-o insta Ayurvedic Mosquito Repellent Vaporizer Liquid | Eco Friendly, Non Toxic Organic Mosqutio Repellent Vaporizer Refill 45 ML (Pa	Pack of 6-FBA	B084BXXLSQ		Unshipped	1	INR	360.0								VELLORE	TAMIL NADU	632007	IN		false				false	67895781836842	false
403-4827275-6954705		2026-09-17T08:17:46+00:00	2026-09-17T09:40:47+00:00	Pending - Waiting for Pick Up	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Insta Mosquito Vaporizer - Ayurvedic Mosquito Repellent | 1 Machine + 2 Refills (45ml Each)	CT_INSTA_COM_1M+2R	B08KXSSKSV	1	Unshipped	1	INR	210.0	32.04							CHENNAI	TAMIL NADU	600056	IN		false			Easy Ship	false	67895461757362	false
402-7375393-3153103	402-7375393-3153103	2026-09-17T04:23:06+00:00	2026-09-17T04:23:48+00:00	Pending	Amazon	Amazon.in		Expedited	Catche must-quit-o insta Ayurvedic Mosquito Repellent Vaporizer Liquid | Eco Friendly, Non Toxic Organic Mosqutio Repellent Vaporizer Refill 45 ML (Pa	Pack of 6-FBA	B084BXXLSQ		Unshipped	1	INR	360.0								Vijayawada	ANDHRA PRADESH	520012	IN		false				false	67887643249602	false
407-7955015-6669117	407-7955015-6669117	2026-09-16T20:25:13+00:00	2026-09-17T06:42:02+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0								SHIMLA	HIMACHAL PRADESH	171011	IN		false				false	67884151961362	false
403-2494365-3333113	403-2494365-3333113	2026-09-16T18:06:48+00:00	2026-09-16T18:07:19+00:00	Pending	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Unshipped	1	INR	360.0								Ahmedabad	GUJARAT	382430	IN	PLM-f238efd3-c647-4e26-950f-eaa05c3ea40b	false				false	67877330537402	false
171-9767279-8093934	171-9767279-8093934	2026-09-16T16:47:02+00:00	2026-09-16T19:15:01+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Must-Quit-O Insta Ayurvedic Mosquito Repellent 45ml Refill (Pack of 4) | AYUSH Approved & Transfluthrin-Free | Non-Toxic Protection Against Den	Catche must-quit-o-insta- FBA	B077ZT3C14		Shipped	1	INR	260.0		19.0					19.0	CHENNAI	TAMIL NADU	600016	IN		false				false	67876554858762	false
402-2412066-6587569	402-2412066-6587569	2026-09-16T15:41:35+00:00	2026-09-16T21:50:03+00:00	Shipped	Amazon	Amazon.in		Expedited	Catche Herbal Mosquito Repellent Refill Combo | 6 Refills + 1 Machine | Safe for Babies, Pregnancy-Safe | Fits All Devices | No Transfluthrin | 270ml	Pack of 6+device-FBA	B09R3SJPB5		Shipped	1	INR	360.0		40.0				7.2	40.0	MAPUSA	GOA	403507	IN	PLM-f238efd3-c647-4e26-950f-eaa05c3ea40b	false				false	67875381117162	false
407-1894421-9021936		2026-09-16T15:02:26+00:00	2026-09-17T07:47:18+00:00	Shipped - Picked Up	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1	Shipped	1	INR	235.0	10.97					4.48		Hyderabad	TELANGANA	500048	IN	PLM-f238efd3-c647-4e26-950f-eaa05c3ea40b	false			Easy Ship	false	67874929029362	false
407-4752579-1816323		2026-09-16T14:55:22+00:00	2026-09-16T19:05:42+00:00	Cancelled	Merchant	Amazon.in	WebsiteOrderChannel	Standard	Catche Herbal Mosquito Repellent Agarbatti - 240 Sticks (Pack of 2) | 100% Ayurvedic | DEET-Free | Safe for Kids & Pregnant Women | Low Smoke | Natural Fragrance | Indoor & Outdoor Use	8908006802319	B0D7MXTFB1	1		0										Hyderabad	TELANGANA	500048	IN		false			Easy Ship	false	67874884358962	false
