Start Time, 2026-08-01 00:00:00
End Time, 2026-08-27 23:59:59
Campaign ID,Campaign Name,AdGroup ID,AdGroup Name,Sku Id,Product Name,Views,Clicks,Direct Units Sold,Indirect Units Sold,Total Revenue (Rs.),Conversion Rate,ROI,Ad Spend
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,18922,288,19,0,3334.0000,0.0660,11.8601,281.1100
GQEWZJ74QL7Q,Thrise x Catche Insta P4 KW,W4LPROTDC8RH,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P4,Catche must-quit-o CT Insta Four Pack Mosquito Vaporiser Refill,13067,63,1,1,674.0000,0.0317,1.8262,369.0800
G2CDW8YGG5DR,Boost_Sales_Lighting 14-08-2026,9Y030XWWUZIC,Home Cleaning & Bathroom Accessories,Catche must-quit-o Refill (pack of 8),"Catche must-quit-o refill (pack of 8) Electric Insect Killer Indoor, Outdoor",8121,100,0,0,0.0000,0.0000,0.0000,200.4000
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P4,Catche must-quit-o CT Insta Four Pack Mosquito Vaporiser Refill,996,4,1,0,251.0000,0.2500,26.1458,9.6000
48L29OE36OHT,Thrise x Catche MR KW,FY2KBCDOEC03,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,84039,1041,30,0,5263.0000,0.0288,1.2354,4260.0000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,2723,15,0,0,0.0000,0.0000,0.0000,134.9000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,0ZRU10WL673X,Spiritual Items,8908006802319,"Catche Herbal Mosquito Incense Sticks (120 sticks) (Pack of 2) Eucalyptus, Lime, Floral Dhoop",996,3,0,0,0.0000,0.0000,0.0000,2.4000
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche mosquito insta repellent combo,Catche must-quit-o insta 1 Mosquito Vaporiser,5692,95,0,0,0.0000,0.0000,0.0000,199.2000
FG1IFQVUBKB3,Thrise x Gadiva KW,18D21EXA03Y0,Hair Care,GD_HAIR_OIL,GADIVA Ayurvedic  Hair Oil,6806,57,0,0,0.0000,0.0000,0.0000,767.9800
75XMDXLM2ENS,Thise x Insta refil P6-P8,TP4KEU4PQ2NB,Home Cleaning & Bathroom Accessories,Catche must-quit-o Insta Repellent (Pack of 8),Catche Insta Ayurvedic Mosquito Repellent (pack of 8) Mosquito Vaporiser Refill,56281,426,17,1,7527.0000,0.0423,3.7504,2007.0000
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,14465,354,10,2,2073.0000,0.0339,2.4172,857.6000
Y67EKPK3IK9V,Thrise x Catche Others,KOZF19Q7VWM1,Hair Care,GD_HAIR_OIL,GADIVA Ayurvedic  Hair Oil,52879,124,0,0,0.0000,0.0000,0.0000,1038.6000
75XMDXLM2ENS,Thise x Insta refil P6-P8,TP4KEU4PQ2NB,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,64952,355,8,1,3126.0000,0.0254,1.7853,1751.0000
Y67EKPK3IK9V,Thrise x Catche Others,F1XEZ46XCACC,Home Cleaning & Bathroom Accessories,MT_SCRUBBER_SHEET,muktha MT Stainless steel Scrubber Sheet Stainless Steel Scrub,22258,364,2,0,266.0000,0.0055,0.1801,1477.0000
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,4496,13,0,0,0.0000,0.0000,0.0000,31.2000
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche must-quit-o Insta Repellent (Pack of 8),Catche Insta Ayurvedic Mosquito Repellent (pack of 8) Mosquito Vaporiser Refill,5418,38,2,0,842.0000,0.0526,9.2325,91.2000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,XLKV6TYMLINS,Baby Care,Catche mosquito repellent lotion - 60ml(Pack of 3),Catche must-quit-o Mosquito Repellent Lotion,1736,28,0,0,0.0000,0.0000,0.0000,22.4000
