Start Time, 2026-08-23 00:00:00
End Time, 2026-09-02 23:59:59
Campaign ID,Campaign Name,AdGroup ID,AdGroup Name,Sku Id,Product Name,Views,Clicks,Direct Units Sold,Indirect Units Sold,Total Revenue (Rs.),Conversion Rate,ROI,Ad Spend
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,1189,32,1,0,176.0000,0.0312,1.7058,103.1800
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche must-quit-o Insta Repellent (Pack of 8),Catche Insta Ayurvedic Mosquito Repellent (pack of 8) Mosquito Vaporiser Refill,5648,52,1,0,423.0000,0.0192,2.7115,156.0000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,2020,14,0,0,0.0000,0.0000,0.0000,139.3600
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P2,Catche must-quit-o Catche Insta Twin Pack Mosquito Vaporiser Refill,7289,41,0,0,0.0000,0.0000,0.0000,349.8200
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+1R,Catche must-quit-o CATCHE_INSTA_RF_COMBO Mosquito Vaporiser,49187,985,6,3,1049.0000,0.0091,0.8050,1303.0600
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+1R,Catche must-quit-o CATCHE_INSTA_RF_COMBO Mosquito Vaporiser,3055,53,0,0,0.0000,0.0000,0.0000,175.2000
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche mosquito insta repellent combo,Catche must-quit-o insta 1 Mosquito Vaporiser,3583,54,0,0,0.0000,0.0000,0.0000,112.8000
FG1IFQVUBKB3,Thrise x Gadiva KW,18D21EXA03Y0,Hair Care,GD_HAIR_OIL,GADIVA Ayurvedic  Hair Oil,1746,11,0,0,0.0000,0.0000,0.0000,159.4300
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,XLKV6TYMLINS,Baby Care,Catche mosquito repellent lotion - 60ml(Pack of 3),Catche must-quit-o Mosquito Repellent Lotion,1828,28,0,0,0.0000,0.0000,0.0000,28.0000
QA8ECN1US6KK,Boost_Sales_InsectAndPestControl 14-08-2026,2R1XBLQLKS4O,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,4046,32,1,0,345.0000,0.0312,3.5938,96.0000
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,28,3,0,0,0.0000,0.0000,0.0000,10.2000
GQEWZJ74QL7Q,Thrise x Catche Insta P4 KW,W4LPROTDC8RH,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P4,Catche must-quit-o CT Insta Four Pack Mosquito Vaporiser Refill,2385,14,0,0,0.0000,0.0000,0.0000,89.3600
75XMDXLM2ENS,Thise x Insta refil P6-P8,TP4KEU4PQ2NB,Home Cleaning & Bathroom Accessories,Catche Insta Ayurvedic Mosquito Repellent-6pack,Catche must-quit-o insta Ayurvedic Mosquito Repellent Mosquito Vaporiser Refill,7595,38,0,0,0.0000,0.0000,0.0000,97.0000
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P4,Catche must-quit-o CT Insta Four Pack Mosquito Vaporiser Refill,192,0,0,0,0.0000,0.0000,0.0000,0.0000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,VVUQD5DGP9B3,Home Cleaning & Bathroom Accessories,Catche mosquito insta repellent combo,Catche must-quit-o insta 1 Mosquito Vaporiser,5054,80,0,0,0.0000,0.0000,0.0000,327.0600
75XMDXLM2ENS,Thise x Insta refil P6-P8,TP4KEU4PQ2NB,Home Cleaning & Bathroom Accessories,Catche must-quit-o Insta Repellent (Pack of 8),Catche Insta Ayurvedic Mosquito Repellent (pack of 8) Mosquito Vaporiser Refill,9015,64,1,0,417.0000,0.0156,2.4675,169.0000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,H2OYKFWZ3Y0X,Body and Face Skin Care,Muktha Ayurvedic Handwash,muktha Handwash Hand Wash Pump Dispenser,3179,44,1,0,130.0000,0.0227,0.9848,132.0000
34ESGE4NR3ZS,Thrise x Catche,YLVAS24HNTB3,Spiritual Items,MT_INCENSE_STICKS,Catche must-quit-o Catche Herbal Incense Sticks Mild,1313,5,0,0,0.0000,0.0000,0.0000,9.8000
Y67EKPK3IK9V,Thrise x Catche Others,C4BZYJTI44UL,Body and Face Skin Care,MT_HW_175ML,muktha MT Ayurvedic HW Hand Wash Pouch,3145,93,0,0,0.0000,0.0000,0.0000,651.0000
48L29OE36OHT,Thrise x Catche MR KW,FY2KBCDOEC03,Home Cleaning & Bathroom Accessories,CT_INSTA_COM_1M+2R,Catche must-quit-o Catche insta combo Mosquito Vaporiser,19044,331,19,0,3344.0000,0.0574,2.8487,1173.8800
34ESGE4NR3ZS,Thrise x Catche,O94T593L8F72,Home Cleaning & Bathroom Accessories,CT_INSTA_REF_P2,Catche must-quit-o Catche Insta Twin Pack Mosquito Vaporiser Refill,337,0,0,0,0.0000,0.0000,0.0000,0.0000
Y67EKPK3IK9V,Thrise x Catche Others,KOZF19Q7VWM1,Hair Care,GD_HAIR_OIL,GADIVA Ayurvedic  Hair Oil,20237,72,0,0,0.0000,0.0000,0.0000,648.0000
RGF1EW4ATOA6,QuickCampaign 14-08-2026 03_37,0ZRU10WL673X,Spiritual Items,8908006802319,"Catche Herbal Mosquito Incense Sticks (120 sticks) (Pack of 2) Eucalyptus, Lime, Floral Dhoop",788,10,1,0,174.0000,0.1000,13.9200,12.5000
